"Code","Département","Nom","Latitude","Longitude","Altitude"
"04019006","04","BARCELLONNETTE EN",44.388333,6.65,1173
"04019404","04","Pra Loup",44.36,6.584667,2100
"04022001","04","BARREME",43.957167,6.372333,743
"04023001","04","BAYONS",44.342667,6.178667,886
"04024001","04","BEAUJEU",44.234333,6.357833,1050
"04027001","04","BEVONS",44.176667,5.878333,600
"04027002","04","BEVONS",44.167,5.861833,520
"04034003","04","LA BRILLANNE",43.9235,5.8865,385
"04039001","04","CASTELLANE",43.849167,6.508,729
"04041001","04","LE CASTELLET",43.938333,5.9795,473
"04045001","04","CERESTE",43.850667,5.566,350
"04049001","04","ST AUBAN",44.062167,5.989667,458
"04051001","04","CHATEAUNEUF-MIRAVAIL",44.161833,5.726667,660
"04063001","04","CORBIERES LES AIRES",43.761667,5.75,304
"04063002","04","CORBIERES PASSAGE A NIVEAU 4",43.761667,5.75,275
"04068001","04","DAUPHIN",43.909833,5.767167,427
"04070002","04","DIGNE-LES-BAINS LES SIEYES",44.095,6.235,595
"04070003","04","DIGNE-LES-BAINS LES DOURBES",44.095,6.235,1025
"04070007","04","DIGNE",44.076667,6.186667,560
"04070008","04","DIGNE",44.083333,6.225,585
"04070009","04","DIGNE LES BAINS",44.07,6.186667,554
"04074001","04","ENTRAGES",44.016667,6.253333,600
"04076001","04","ENTREVAUX",43.950333,6.8165,475
"04079001","04","L'ESCALE BARRAGE",44.083333,6.025,435
"04088001","04","FORCALQUIER",43.962833,5.784667,535
"04088003","04","FORCALQUIER",43.933333,5.78,470
"04094001","04","GREOUX-ITCF",43.751667,5.858333,296
"04094002","04","GREOUX",43.756667,5.883333,359
"04096001","04","JAUSIERS",44.405,6.761667,1510
"04096002","04","JAUSIERS-ST ANNE",44.413667,6.725167,1240
"04096401","04","RESTEFOND-NIVOSE",44.34,6.8,2550
"04099001","04","LAMBRUISSE",44.042833,6.4455,1123
"04101001","04","LARDIERS",44.052333,5.7135,747
"04102004","04","LAUZET(LE)",44.441667,6.426667,1070
"04106001","04","LURS",43.9445,5.866333,385
"04112001","04","MANOSQUE",43.843333,5.785,380
"04112006","04","MANOSQUE",43.797,5.817167,289
"04112009","04","MANOSQUE",43.8355,5.793333,457
"04112010","04","MANOSQUE-PIMARLET",43.837167,5.801,375
"04115001","04","MEAILLES_SAPC",44.031167,6.6295,1090
"04116001","04","MEES(LES)",43.985,5.928333,375
"04123001","04","MISON",44.241667,5.888333,560
